Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2
TweetEval,2000,AHSP-Full,2024,0.7663327278436052,0.7663327278436053,0.7733333333333333,0.7733333333333334,0.7577681521856634,0.9081999999999999,70.40822887420654,0.49873805046081543,2065.53076171875,6.893704,0.8376068376068376,0.6741573033707865,0.7872340425531915
TweetEval,2000,AHSP-OnlyMax,2024,0.7252456538170824,0.7252456538170823,0.7266666666666667,0.7266666666666666,0.7176466372625586,0.8936666666666667,128.17793083190918,0.5257079601287842,2027.66064453125,4.534408,0.7857142857142857,0.6122448979591837,0.7777777777777778
TweetEval,2000,AHSP-OnlyMean,2024,0.7287738800402334,0.7287738800402334,0.7333333333333333,0.7333333333333334,0.7222971896758402,0.9117333333333333,66.51294207572937,0.5512747764587402,2029.66064453125,4.534408,0.8141592920353983,0.6530612244897959,0.7191011235955056
TweetEval,2000,AHSP-OnlyAttn,2024,0.6977377953303753,0.6977377953303754,0.7066666666666667,0.7066666666666667,0.6858095105850717,0.9005333333333333,76.19409990310669,0.5155665874481201,2032.50146484375,4.534408,0.7933884297520661,0.6021505376344086,0.6976744186046512
TweetEval,2000,AHSP-Max+Mean,2024,0.6942369201115707,0.6942369201115707,0.7066666666666667,0.7066666666666667,0.6792147799020437,0.9081999999999999,76.46973466873169,0.5407633781433105,2041.48876953125,5.714056,0.7933884297520661,0.5581395348837209,0.7311827956989247
TweetEval,2000,No-AHSP,2024,0.7202547976132881,0.7202547976132883,0.72,0.7200000000000001,0.7166199596986793,0.8931333333333334,123.17607736587524,0.44753241539001465,1998.3916015625,1.576067,0.7735849056603774,0.6538461538461539,0.7333333333333333
TweetEval,2000,AHSP-Max+Attn,2024,0.6953271065776669,0.6953271065776669,0.7,0.6999999999999998,0.68865522579806,0.8892666666666665,121.5012743473053,0.5725703239440918,2055.0205078125,5.714056,0.7567567567567568,0.5869565217391305,0.7422680412371134
TweetEval,2000,AHSP-Mean+Attn,2024,0.7096731344961121,0.7096731344961121,0.7133333333333334,0.7133333333333334,0.7017642571710879,0.8845333333333333,117.32160830497742,0.641831636428833,2054.86083984375,5.714056,0.7894736842105263,0.6336633663366337,0.7058823529411765
