Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5
SMP2020,2000,AHSP-Full,2024,0.7077743129897063,0.7077743129897063,0.7066666666666667,0.7066666666666667,0.7006622692154065,0.9125200000000001,189.55424308776855,1.6282405853271484,2078.103515625,6.898318,0.6153846153846154,0.5794392523364486,0.72,0.8297872340425532,0.803921568627451,0.6981132075471698
SMP2020,2000,AHSP-OnlyMax,2024,0.706959470137556,0.706959470137556,0.7033333333333334,0.7033333333333333,0.6996801015300005,0.9152266666666665,184.55937838554382,1.3129703998565674,2047.7578125,4.539022,0.6078431372549019,0.6060606060606061,0.6923076923076923,0.8478260869565217,0.8210526315789474,0.6666666666666666
SMP2020,2000,AHSP-OnlyMean,2024,0.6933965151500487,0.6933965151500486,0.69,0.69,0.6857176303287594,0.9075866666666665,168.5036702156067,1.4536759853363037,2047.6328125,4.539022,0.56,0.6078431372549019,0.7102803738317757,0.8351648351648352,0.7741935483870968,0.6728971962616822
SMP2020,2000,AHSP-OnlyAttn,2024,0.7037178395805418,0.7037178395805418,0.7,0.7000000000000001,0.6965728792280026,0.9078400000000001,163.39948725700378,1.4652903079986572,2055.7705078125,4.539022,0.58,0.6274509803921569,0.7102803738317757,0.8444444444444444,0.7872340425531915,0.6728971962616822
SMP2020,2000,AHSP-Max+Mean,2024,0.71183686827416,0.7118368682741602,0.71,0.71,0.7023774012570755,0.9196399999999999,140.24950098991394,1.0716171264648438,2065.7578125,5.71867,0.6304347826086957,0.6153846153846154,0.7169811320754716,0.8695652173913043,0.8,0.6386554621848739
SMP2020,2000,AHSP-Max+Attn,2024,0.7148672257162824,0.7148672257162824,0.7133333333333334,0.7133333333333334,0.705424758652783,0.9197333333333334,136.9209907054901,1.098177433013916,2072.7705078125,5.71867,0.6304347826086957,0.6222222222222222,0.7169811320754716,0.8695652173913043,0.8,0.65
SMP2020,2000,AHSP-Mean+Attn,2024,0.6773712259297396,0.6773712259297395,0.6766666666666666,0.6766666666666667,0.6709985878751599,0.9049333333333333,139.59167313575745,1.1114706993103027,2073.8955078125,5.71867,0.5684210526315789,0.5882352941176471,0.7169811320754716,0.8041237113402062,0.7578947368421053,0.6285714285714286
SMP2020,2000,No-AHSP,2024,0.7032310232202515,0.7032310232202515,0.7033333333333334,0.7033333333333335,0.6952239788558326,0.9184666666666667,119.09663939476013,0.7886264324188232,2023.63427734375,1.578374,0.6534653465346535,0.6024096385542169,0.7090909090909091,0.8297872340425532,0.7755102040816326,0.6491228070175439
