Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2
TweetEval,2000,AHSP-Full,1001,0.7560189710727344,0.7560189710727345,0.76,0.7600000000000001,0.7503109821467614,0.9116666666666666,129.12576913833618,0.5405833721160889,2147.00634765625,6.893704,0.8148148148148148,0.6451612903225806,0.8080808080808081
TweetEval,2000,AHSP-OnlyMax,1001,0.733331664152463,0.733331664152463,0.7466666666666667,0.7466666666666667,0.7159026531407622,0.9114,101.72587466239929,0.5236678123474121,2109.28369140625,4.534408,0.8032786885245902,0.5925925925925926,0.8041237113402062
TweetEval,2000,AHSP-OnlyMean,1001,0.7008641741866182,0.7008641741866183,0.7,0.6999999999999998,0.6952053289772899,0.8942666666666667,103.26166224479675,0.5392205715179443,2108.43994140625,4.534408,0.7476635514018691,0.594059405940594,0.7608695652173914
TweetEval,2000,AHSP-OnlyAttn,1001,0.7447074785848807,0.7447074785848807,0.74,0.7399999999999999,0.7398197759305247,0.894,121.92386984825134,0.38275146484375,2113.42138671875,4.534408,0.782608695652174,0.672566371681416,0.7789473684210526
TweetEval,2000,AHSP-Max+Mean,1001,0.7556995605597295,0.7556995605597294,0.76,0.7600000000000001,0.7486589368286632,0.9086666666666666,90.6396894454956,0.5335915088653564,2120.81494140625,5.714056,0.831858407079646,0.6526315789473685,0.782608695652174
TweetEval,2000,No-AHSP,1001,0.7443119469367233,0.7443119469367232,0.7466666666666667,0.7466666666666666,0.7389124516410572,0.9092666666666666,156.3931884765625,0.5281379222869873,2074.9052734375,1.576067,0.7663551401869159,0.6382978723404256,0.8282828282828283
TweetEval,2000,AHSP-Max+Attn,1001,0.7610531684236385,0.7610531684236385,0.76,0.7599999999999999,0.7584177608640044,0.912,99.4125325679779,0.39060068130493164,2136.2607421875,5.714056,0.7916666666666666,0.6796116504854369,0.8118811881188119
TweetEval,2000,AHSP-Mean+Attn,1001,0.7196869650281243,0.7196869650281242,0.7266666666666667,0.7266666666666666,0.709857803964086,0.904,61.95945858955383,0.39198899269104004,2135.60107421875,5.714056,0.7931034482758621,0.6,0.7659574468085106
