Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2
TweetEval,1000,AHSP-Full,2024,0.7529304029304029,0.7529304029304029,0.7533333333333333,0.7533333333333334,0.7504814686289175,0.8816,100.55041599273682,0.38643836975097656,2080.81201171875,6.893704,0.8,0.7115384615384616,0.7472527472527473
TweetEval,1000,AHSP-OnlyMax,2024,0.6974362604799805,0.6974362604799805,0.7,0.7000000000000001,0.6914497279361038,0.8892000000000001,101.23137211799622,0.45366930961608887,2042.95751953125,4.534408,0.7818181818181819,0.6138613861386139,0.6966292134831461
TweetEval,1000,AHSP-OnlyMean,2024,0.6922343157637275,0.6922343157637275,0.6933333333333334,0.6933333333333334,0.6858095105850717,0.888,80.52051949501038,0.4525430202484131,2042.95751953125,4.534408,0.7692307692307693,0.6486486486486487,0.6588235294117647
TweetEval,1000,AHSP-OnlyAttn,2024,0.6885964912280702,0.6885964912280701,0.6866666666666666,0.6866666666666666,0.6837623058366078,0.8816666666666667,85.90051364898682,0.4491100311279297,2049.47021484375,4.534408,0.75,0.6491228070175439,0.6666666666666666
TweetEval,1000,AHSP-Max+Mean,2024,0.7015074763503204,0.7015074763503204,0.7,0.7000000000000001,0.6961970640293134,0.8846000000000002,101.85020685195923,0.36878466606140137,2058.64501953125,5.714056,0.76,0.6548672566371682,0.6896551724137931
TweetEval,1000,No-AHSP,2024,0.6872560205370605,0.6872560205370604,0.7,0.6999999999999998,0.6714204659609153,0.8828666666666667,65.53912997245789,0.4422118663787842,2012.8291015625,1.576067,0.8173913043478261,0.5227272727272727,0.7216494845360825
TweetEval,1000,AHSP-Max+Attn,2024,0.7429258850311481,0.7429258850311481,0.7466666666666667,0.7466666666666667,0.7345299105829546,0.8978666666666667,37.99484395980835,0.3890399932861328,2064.56787109375,5.714056,0.8034188034188035,0.6526315789473685,0.7727272727272727
TweetEval,1000,AHSP-Mean+Attn,2024,0.7351657329598505,0.7351657329598505,0.74,0.7400000000000001,0.7249047833733588,0.9037999999999999,29.537118911743164,0.38748764991760254,2064.56787109375,5.714056,0.8067226890756303,0.6458333333333334,0.7529411764705882
