Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2
TweetEval,1000,AHSP-Full,123,0.7514472342936852,0.7514472342936852,0.7533333333333333,0.7533333333333333,0.7478778528372159,0.8800666666666667,105.27909660339355,0.6207544803619385,2249.5380859375,6.893704,0.7889908256880734,0.6736842105263158,0.7916666666666666
TweetEval,1000,AHSP-OnlyMax,123,0.7349028691689045,0.7349028691689046,0.7466666666666667,0.7466666666666667,0.7217652160277389,0.89,85.90085506439209,0.6902430057525635,2215.2802734375,4.534408,0.8173913043478261,0.5952380952380952,0.7920792079207921
TweetEval,1000,AHSP-OnlyMean,123,0.7148894643996546,0.7148894643996546,0.7266666666666667,0.7266666666666666,0.7022836979656107,0.8797999999999999,83.58079314231873,0.5157747268676758,2218.2802734375,4.534408,0.8,0.5783132530120482,0.7663551401869159
TweetEval,1000,AHSP-OnlyAttn,123,0.7002919175332969,0.7002919175332969,0.7066666666666667,0.7066666666666667,0.692846881000304,0.8724666666666666,89.34479188919067,0.46895813941955566,2222.35546875,4.534408,0.780952380952381,0.5977011494252874,0.7222222222222222
TweetEval,1000,AHSP-Max+Mean,123,0.7015896085021346,0.7015896085021346,0.7066666666666667,0.7066666666666667,0.6955692935680158,0.8605333333333333,106.00596833229065,0.4684305191040039,2231.7802734375,5.714056,0.7524752475247525,0.6,0.7522935779816514
TweetEval,1000,No-AHSP,123,0.7134930673950638,0.7134930673950638,0.72,0.7200000000000001,0.704515032899538,0.8674,72.5670747756958,0.5247519016265869,2187.37060546875,1.576067,0.8245614035087719,0.6262626262626263,0.6896551724137931
TweetEval,1000,AHSP-Max+Attn,123,0.7579352382495292,0.7579352382495291,0.76,0.7600000000000001,0.7534243413863349,0.8788666666666667,114.15161561965942,0.6700387001037598,2234.91796875,5.714056,0.7964601769911505,0.6947368421052632,0.782608695652174
TweetEval,1000,AHSP-Mean+Attn,123,0.7194625998547567,0.7194625998547567,0.7266666666666667,0.7266666666666666,0.7099001380412358,0.8731999999999999,105.21349477767944,0.6858079433441162,2234.29296875,5.714056,0.7962962962962963,0.5777777777777777,0.7843137254901961
