Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2
TweetEval,2000,AHSP-Full,45,0.6978182951534985,0.6978182951534986,0.7,0.6999999999999998,0.6905393808125316,0.8804666666666666,126.95181488990784,0.6362900733947754,2297.26025390625,6.893704,0.7304347826086957,0.6021505376344086,0.7608695652173914
TweetEval,2000,AHSP-OnlyMax,45,0.7085317460317461,0.708531746031746,0.7133333333333334,0.7133333333333334,0.6965984635454283,0.9007333333333333,91.79302453994751,0.5672941207885742,2262.7822265625,4.534408,0.7833333333333333,0.6041666666666666,0.7380952380952381
TweetEval,2000,AHSP-OnlyMean,45,0.6868680150356239,0.686868015035624,0.6866666666666666,0.6866666666666666,0.6800461329716477,0.8805333333333333,103.89482879638672,0.6143133640289307,2261.8759765625,4.534408,0.7090909090909091,0.5773195876288659,0.7741935483870968
TweetEval,2000,AHSP-OnlyAttn,45,0.727536231884058,0.7275362318840579,0.7333333333333333,0.7333333333333334,0.7174912688582092,0.8961333333333332,91.11058163642883,0.5139429569244385,2267.326171875,4.534408,0.782608695652174,0.6,0.8
TweetEval,2000,AHSP-Max+Mean,45,0.7124749506935962,0.7124749506935962,0.72,0.7200000000000001,0.6982268045639496,0.8902666666666667,109.29589366912842,0.7585198879241943,2274.1572265625,5.714056,0.7603305785123967,0.5813953488372093,0.7956989247311828
TweetEval,2000,No-AHSP,45,0.6993593290585771,0.6993593290585772,0.7066666666666667,0.7066666666666667,0.6888013917469608,0.8816,106.62714123725891,0.6184892654418945,2229.49755859375,1.576067,0.7543859649122807,0.5681818181818182,0.7755102040816326
TweetEval,2000,AHSP-Max+Attn,45,0.7096727835432115,0.7096727835432116,0.7133333333333334,0.7133333333333333,0.7004459743100815,0.8778,159.59835481643677,0.5946469306945801,2282.8056640625,5.714056,0.7350427350427351,0.6067415730337079,0.7872340425531915
TweetEval,2000,AHSP-Mean+Attn,45,0.6760264580140357,0.6760264580140356,0.68,0.68,0.6667444353721343,0.8613333333333332,123.25574827194214,0.5604729652404785,2282.8056640625,5.714056,0.7090909090909091,0.5434782608695652,0.7755102040816326
