Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5
SMP2020,2000,AHSP-Full,789,0.7121073798846346,0.7121073798846347,0.7066666666666667,0.7066666666666667,0.7050381415382866,0.9198399999999999,147.7531714439392,1.3850340843200684,2078.103515625,6.898318,0.6595744680851063,0.6126126126126126,0.76,0.8409090909090909,0.7446808510638298,0.6548672566371682
SMP2020,2000,AHSP-OnlyMax,789,0.6909022000863199,0.6909022000863199,0.6866666666666666,0.6866666666666666,0.6802089335644459,0.9199333333333333,136.55883073806763,1.258718490600586,2047.7578125,4.539022,0.5952380952380952,0.6017699115044248,0.74,0.8444444444444444,0.7368421052631579,0.6271186440677966
SMP2020,2000,AHSP-OnlyMean,789,0.6735235210447302,0.6735235210447302,0.6766666666666666,0.6766666666666666,0.6625774093827123,0.9094533333333334,169.54648852348328,1.194612979888916,2047.6328125,4.539022,0.6373626373626373,0.6386554621848739,0.7524752475247525,0.7735849056603774,0.7446808510638298,0.4943820224719101
SMP2020,2000,AHSP-OnlyAttn,789,0.6990501686616395,0.6990501686616396,0.6933333333333334,0.6933333333333332,0.6874369571117454,0.9128266666666667,168.21903824806213,1.397381067276001,2055.7705078125,4.539022,0.6363636363636364,0.6212121212121212,0.7659574468085106,0.8260869565217391,0.7446808510638298,0.6
SMP2020,2000,AHSP-Max+Mean,789,0.7080677483426494,0.7080677483426494,0.7033333333333334,0.7033333333333333,0.7016401366096456,0.91748,158.92830681800842,1.7100803852081299,2065.7578125,5.71867,0.6666666666666666,0.6017699115044248,0.7676767676767676,0.8222222222222222,0.723404255319149,0.6666666666666666
SMP2020,2000,AHSP-Max+Attn,789,0.7112349515098527,0.7112349515098526,0.7066666666666667,0.7066666666666667,0.7047656629107544,0.9177333333333332,146.50725317001343,1.2134478092193604,2072.7705078125,5.71867,0.6666666666666666,0.6017699115044248,0.7676767676767676,0.8351648351648352,0.723404255319149,0.6727272727272727
SMP2020,2000,AHSP-Mean+Attn,789,0.7159549822955745,0.7159549822955745,0.7133333333333334,0.7133333333333334,0.7100260167023686,0.9207066666666668,126.20210123062134,1.0938992500305176,2073.8955078125,5.71867,0.6875,0.6037735849056604,0.7472527472527473,0.851063829787234,0.7522935779816514,0.6538461538461539
SMP2020,2000,No-AHSP,789,0.6909304012979182,0.690930401297918,0.69,0.6900000000000001,0.6826845000173818,0.92332,125.4436571598053,0.801349401473999,2023.63427734375,1.578374,0.6046511627906976,0.5961538461538461,0.7311827956989247,0.8297872340425532,0.7115384615384616,0.6722689075630253
