Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,Eval-Split
TweetEval,1000,LoRA-Adv,45,0.726780185758514,0.7267801857585139,0.7333333333333333,0.7333333333333334,0.7113786608980126,0.8926,82.4640440940857,0.3243727684020996,3188.59765625,0.887043,0.75,0.5882352941176471,0.8421052631578947,bestparams_rerun
TweetEval,1000,LoRA-Adv,123,0.709126199016659,0.709126199016659,0.7133333333333334,0.7133333333333334,0.704052682007994,0.8811333333333332,88.84652829170227,0.3384835720062256,3792.21875,0.887043,0.7450980392156863,0.6086956521739131,0.7735849056603774,bestparams_rerun
TweetEval,1000,LoRA-Adv,789,0.7375547847597538,0.7375547847597538,0.7333333333333333,0.7333333333333334,0.7330937693147528,0.8997333333333333,109.16117811203003,0.3472483158111572,3868.103515625,0.887043,0.7755102040816326,0.6545454545454545,0.782608695652174,bestparams_rerun
TweetEval,1000,LoRA-Adv,1001,0.7907022908954344,0.7907022908954344,0.7933333333333333,0.7933333333333333,0.7860929776251203,0.9199999999999999,89.08033919334412,0.4740605354309082,3317.82470703125,0.887043,0.8440366972477065,0.6947368421052632,0.8333333333333334,bestparams_rerun
TweetEval,1000,LoRA-Adv,2024,0.7073515725283448,0.7073515725283448,0.7066666666666667,0.7066666666666667,0.7022836979656107,0.8964,111.07866954803467,0.3652811050415039,3445.71240234375,0.887043,0.7961165048543689,0.6226415094339622,0.7032967032967034,bestparams_rerun
TweetEval,2000,LoRA-Adv,45,0.7096796879649014,0.7096796879649014,0.7133333333333334,0.7133333333333333,0.7025431304598279,0.8851333333333334,143.12830924987793,0.32854199409484863,3895.8154296875,0.887043,0.7543859649122807,0.6086956521739131,0.7659574468085106,bestparams_rerun
TweetEval,2000,LoRA-Adv,123,0.7549041867223685,0.7549041867223686,0.76,0.7600000000000001,0.7438609984278277,0.8975333333333334,80.09460473060608,0.33555126190185547,3890.2939453125,0.887043,0.8099173553719008,0.6593406593406593,0.7954545454545454,bestparams_rerun
TweetEval,2000,LoRA-Adv,789,0.721614505763891,0.7216145057638911,0.7333333333333333,0.7333333333333333,0.7075642247964441,0.9098666666666667,101.99680376052856,0.3300161361694336,3864.353515625,0.887043,0.782608695652174,0.5783132530120482,0.803921568627451,bestparams_rerun
TweetEval,2000,LoRA-Adv,1001,0.7751119441841091,0.7751119441841091,0.78,0.7799999999999999,0.7689026929161167,0.9274,98.84196877479553,0.32588934898376465,3576.49365234375,0.887043,0.8545454545454545,0.6666666666666666,0.8041237113402062,bestparams_rerun
TweetEval,2000,LoRA-Adv,2024,0.7355150859478302,0.7355150859478302,0.7333333333333333,0.7333333333333334,0.7294134275940952,0.8812666666666668,181.73636054992676,0.3207740783691406,3431.47802734375,0.887043,0.7446808510638298,0.711864406779661,0.75,bestparams_rerun
