Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5,Eval-Split,SweepSmoothing
SMP2020,1000,DoRA-Balanced,45,0.7292419607224465,0.7292419607224465,0.73,0.73,0.7206103013890973,0.9287333333333333,126.01079559326172,0.9892375469207764,2484.47265625,0.916998,0.6551724137931034,0.6024096385542169,0.7428571428571429,0.8222222222222222,0.8076923076923077,0.7450980392156863,smp1000_smoothing_sweep,0.1
SMP2020,1000,Full-FineTuning,45,0.6679321173975867,0.6679321173975866,0.6733333333333333,0.6733333333333332,0.6579403258096232,0.8924799999999999,109.63837838172913,0.44036054611206055,3499.17724609375,102.272262,0.6105263157894737,0.5252525252525253,0.7522935779816514,0.7920792079207921,0.7592592592592593,0.5681818181818182,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Ablation-NoHSP,45,0.6966797448100728,0.6966797448100728,0.6933333333333334,0.6933333333333334,0.6896150279548976,0.9211866666666667,149.98089385032654,0.8145551681518555,2024.59375,1.578374,0.6055045871559633,0.625,0.6981132075471698,0.8314606741573034,0.8,0.62,nohsp_check,
SMP2020,1000,LoRA-Ablation-NoMem,45,0.6690479272251492,0.6690479272251492,0.67,0.6699999999999999,0.6551272087763956,0.9152399999999999,119.28038477897644,0.700927734375,2098.2626953125,6.209294,0.5681818181818182,0.5691056910569106,0.6990291262135923,0.8085106382978723,0.8113207547169812,0.5581395348837209,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Balanced,45,0.7334406575614522,0.7334406575614522,0.7333333333333333,0.7333333333333333,0.726675938273805,0.9288,95.2235860824585,0.6650876998901367,2012.6181640625,0.88935,0.6548672566371682,0.627906976744186,0.7428571428571429,0.8222222222222222,0.8076923076923077,0.7450980392156863,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Focal,45,0.6793381411783724,0.6793381411783723,0.6833333333333333,0.6833333333333332,0.6712511428133953,0.9203866666666666,127.96997451782227,0.6453328132629395,2012.61865234375,0.88935,0.6078431372549019,0.6422018348623854,0.7115384615384616,0.7422680412371134,0.7747747747747747,0.5974025974025974,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-LDAM,45,0.6015350007325693,0.6015350007325694,0.6166666666666667,0.6166666666666666,0.5811415056472033,0.9041333333333332,131.37216424942017,0.6501531600952148,2012.61865234375,0.88935,0.6262626262626263,0.4731182795698925,0.6666666666666666,0.6949152542372882,0.7070707070707071,0.4411764705882353,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-LogitAdj,45,0.6946775007942042,0.6946775007942042,0.6933333333333334,0.6933333333333332,0.6890514032018399,0.9200666666666667,91.85747933387756,0.6321039199829102,2012.61865234375,0.88935,0.6736842105263158,0.5742574257425742,0.6785714285714286,0.8297872340425532,0.7450980392156863,0.6666666666666666,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Ours,45,0.7182967654405111,0.7182967654405111,0.7166666666666667,0.7166666666666667,0.7084802476272914,0.9274,130.45929145812988,1.0845372676849365,2108.5205078125,6.898318,0.5977011494252874,0.639344262295082,0.7184466019417476,0.8444444444444444,0.7924528301886793,0.717391304347826,smp1k_mem2,
SMP2020,1000,LoRA-Vanilla,45,0.616075578421841,0.6160755784218409,0.6333333333333333,0.6333333333333334,0.5953690040041645,0.9162266666666666,128.53120183944702,0.6500349044799805,2012.61767578125,0.88935,0.6476190476190476,0.46511627906976744,0.6896551724137931,0.7008547008547008,0.7155963302752294,0.47761194029850745,smp1000_smoothing_sweep,0.1
SMP2020,1000,DoRA-Balanced,123,0.6783163456087665,0.6783163456087664,0.68,0.68,0.6675638481887286,0.9139999999999998,115.83137607574463,0.9914505481719971,2484.47265625,0.916998,0.616822429906542,0.5,0.74,0.8297872340425532,0.7547169811320755,0.6285714285714286,smp1000_smoothing_sweep,0.1
SMP2020,1000,Full-FineTuning,123,0.6793511025280682,0.6793511025280682,0.6833333333333333,0.6833333333333332,0.667155809449844,0.8896666666666667,95.42524409294128,0.44869184494018555,3498.98876953125,102.272262,0.6486486486486487,0.5531914893617021,0.7142857142857143,0.8421052631578947,0.7766990291262136,0.5411764705882353,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Ablation-NoHSP,123,0.6820798555049702,0.6820798555049701,0.68,0.6799999999999998,0.6745936681695135,0.9121066666666667,111.26321959495544,0.7994048595428467,2024.609375,1.578374,0.6262626262626263,0.5918367346938775,0.7368421052631579,0.8478260869565217,0.6956521739130435,0.594059405940594,nohsp_check,
SMP2020,1000,LoRA-Ablation-NoMem,123,0.6800676734260155,0.6800676734260155,0.6766666666666666,0.6766666666666666,0.6732863486829211,0.8995066666666666,97.42111134529114,0.812936544418335,2097.5439453125,6.209294,0.6534653465346535,0.5585585585585585,0.7474747474747475,0.7959183673469388,0.7391304347826086,0.5858585858585859,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Balanced,123,0.6854863904161105,0.6854863904161105,0.6866666666666666,0.6866666666666666,0.675882442552372,0.9141066666666666,89.33766078948975,0.6557753086090088,2012.6181640625,0.88935,0.6355140186915887,0.5168539325842697,0.7474747474747475,0.8297872340425532,0.7547169811320755,0.6285714285714286,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Focal,123,0.6606186448328651,0.6606186448328651,0.6633333333333333,0.6633333333333332,0.6500926218522104,0.9188666666666666,82.79737615585327,0.6519322395324707,2012.61865234375,0.88935,0.6363636363636364,0.5227272727272727,0.7157894736842105,0.7835051546391752,0.6774193548387096,0.627906976744186,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-LDAM,123,0.58121396086318,0.58121396086318,0.5966666666666667,0.5966666666666667,0.5545539774323396,0.8911466666666666,112.90482568740845,0.6602420806884766,2012.61865234375,0.88935,0.6017699115044248,0.449438202247191,0.7272727272727273,0.6268656716417911,0.6938775510204082,0.3880597014925373,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-LogitAdj,123,0.6523840396053796,0.6523840396053796,0.6566666666666666,0.6566666666666666,0.6424914077763568,0.9038666666666666,83.15187525749207,0.6232686042785645,2012.61865234375,0.88935,0.6792452830188679,0.49504950495049505,0.7326732673267327,0.7592592592592593,0.6730769230769231,0.575,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Ours,123,0.6959562488717937,0.695956248871794,0.6933333333333334,0.6933333333333334,0.6897702592728174,0.9035866666666666,154.46017026901245,0.8247561454772949,2109.3330078125,6.898318,0.6534653465346535,0.5714285714285714,0.7551020408163265,0.8387096774193549,0.7307692307692307,0.6262626262626263,smp1k_mem2,
SMP2020,1000,LoRA-Vanilla,123,0.5806938782985143,0.5806938782985143,0.6066666666666667,0.6066666666666667,0.5468332516319636,0.9089866666666667,119.34776377677917,0.6527092456817627,2012.61767578125,0.88935,0.6238532110091743,0.5319148936170213,0.6727272727272727,0.6776859504132231,0.6728971962616822,0.3050847457627119,smp1000_smoothing_sweep,0.1
SMP2020,1000,DoRA-Balanced,789,0.6699581963062355,0.6699581963062354,0.6666666666666666,0.6666666666666666,0.6604582830501337,0.9007466666666667,110.51508259773254,0.9569525718688965,2484.47265625,0.916998,0.6458333333333334,0.5454545454545454,0.7254901960784313,0.8351648351648352,0.7307692307692307,0.5370370370370371,smp1000_smoothing_sweep,0.1
SMP2020,1000,Full-FineTuning,789,0.6574383217657429,0.657438321765743,0.6633333333333333,0.6633333333333332,0.647016623282839,0.8723466666666666,114.17999863624573,0.5365011692047119,3500.42236328125,102.272262,0.7272727272727273,0.5567010309278351,0.7155963302752294,0.7619047619047619,0.7058823529411765,0.4772727272727273,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Ablation-NoHSP,789,0.6902778223915506,0.6902778223915508,0.69,0.69,0.6841973776010949,0.90756,137.43559312820435,0.764453649520874,2024.59375,1.578374,0.6792452830188679,0.5833333333333334,0.7326732673267327,0.8297872340425532,0.7307692307692307,0.5858585858585859,nohsp_check,
SMP2020,1000,LoRA-Ablation-NoMem,789,0.6782956395813117,0.6782956395813117,0.68,0.68,0.6696119782187205,0.9002666666666667,110.40959000587463,0.6985347270965576,2098.2626953125,6.209294,0.6788990825688074,0.5348837209302325,0.7326732673267327,0.8297872340425532,0.6915887850467289,0.6019417475728155,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Balanced,789,0.6527013879433459,0.6527013879433459,0.65,0.65,0.6440742140451549,0.8998666666666666,98.5037157535553,0.6935138702392578,2012.6181640625,0.88935,0.6265060240963856,0.5925925925925926,0.7272727272727273,0.7676767676767676,0.693069306930693,0.509090909090909,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Focal,789,0.6812930527664434,0.6812930527664434,0.68,0.68,0.6728075455976303,0.9144533333333335,79.27798056602478,0.6785571575164795,2012.61865234375,0.88935,0.6724137931034483,0.616822429906542,0.7722772277227723,0.8045977011494253,0.6534653465346535,0.5681818181818182,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-LDAM,789,0.5965112124575921,0.5965112124575921,0.6233333333333333,0.6233333333333334,0.5526940862542796,0.8999333333333334,123.11234021186829,0.6376960277557373,2012.61865234375,0.88935,0.6990291262135923,0.5294117647058824,0.6915887850467289,0.6991869918699187,0.7058823529411765,0.25396825396825395,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-LogitAdj,789,0.6629752388902501,0.6629752388902501,0.6666666666666666,0.6666666666666666,0.6511840341977652,0.9000533333333333,83.55339407920837,0.8865985870361328,2012.61865234375,0.88935,0.7184466019417476,0.5233644859813084,0.7254901960784313,0.7476635514018691,0.7628865979381443,0.5,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Ours,789,0.6931319629576028,0.6931319629576029,0.6933333333333334,0.6933333333333334,0.6836078018460439,0.90524,124.61614322662354,1.0693843364715576,2108.86328125,6.898318,0.6785714285714286,0.5510204081632653,0.7572815533980582,0.8089887640449438,0.7884615384615384,0.574468085106383,smp1k_mem2,
SMP2020,1000,LoRA-Vanilla,789,0.6080389443462054,0.6080389443462055,0.6433333333333333,0.6433333333333333,0.5537391598018008,0.9081466666666668,114.56502270698547,0.6616983413696289,2012.61767578125,0.88935,0.7304347826086957,0.5517241379310345,0.7037037037037037,0.6774193548387096,0.7476635514018691,0.23728813559322035,smp1000_smoothing_sweep,0.1
SMP2020,1000,DoRA-Balanced,1001,0.6697963925024119,0.6697963925024117,0.6633333333333333,0.6633333333333333,0.657841335096496,0.9183333333333333,95.73842763900757,0.9571480751037598,2484.47265625,0.916998,0.5510204081632653,0.5420560747663551,0.7446808510638298,0.8444444444444444,0.76,0.5765765765765766,smp1000_smoothing_sweep,0.1
SMP2020,1000,Full-FineTuning,1001,0.6514540019582291,0.6514540019582291,0.6533333333333333,0.6533333333333334,0.6412667685503285,0.90196,73.97585248947144,0.46135950088500977,3501.31689453125,102.272262,0.6122448979591837,0.5054945054945055,0.6548672566371682,0.8260869565217391,0.7142857142857143,0.5957446808510638,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Ablation-NoHSP,1001,0.6725161407837671,0.672516140783767,0.67,0.6699999999999999,0.6632309662046245,0.9203066666666665,97.70281672477722,0.7815442085266113,2024.59375,1.578374,0.5925925925925926,0.5882352941176471,0.7115384615384616,0.851063829787234,0.75,0.5416666666666666,nohsp_check,
SMP2020,1000,LoRA-Ablation-NoMem,1001,0.658163012471399,0.658163012471399,0.6566666666666666,0.6566666666666667,0.6520440575830144,0.9029733333333335,128.26340222358704,0.7144923210144043,2095.546875,6.209294,0.6185567010309279,0.5544554455445545,0.7378640776699029,0.7676767676767676,0.7096774193548387,0.5607476635514018,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Balanced,1001,0.6697963925024119,0.6697963925024117,0.6633333333333333,0.6633333333333333,0.657841335096496,0.9182666666666667,74.02184867858887,0.6484155654907227,2012.6181640625,0.88935,0.5510204081632653,0.5420560747663551,0.7446808510638298,0.8444444444444444,0.76,0.5765765765765766,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Focal,1001,0.696688641108652,0.6966886411086521,0.69,0.6900000000000001,0.6865737357556971,0.9196666666666667,74.62988305091858,0.6833572387695312,2012.61865234375,0.88935,0.5981308411214953,0.5882352941176471,0.7472527472527473,0.8444444444444444,0.7647058823529411,0.6373626373626373,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-LDAM,1001,0.5971579974059861,0.5971579974059861,0.6166666666666667,0.6166666666666666,0.5688376280815213,0.8961600000000001,123.74571633338928,0.6197102069854736,2012.61865234375,0.88935,0.5510204081632653,0.4731182795698925,0.6949152542372882,0.7272727272727273,0.7755102040816326,0.3611111111111111,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-LogitAdj,1001,0.6368311939560601,0.6368311939560599,0.6433333333333333,0.6433333333333334,0.6240043424411829,0.9170533333333334,82.78795671463013,0.6323349475860596,2012.61865234375,0.88935,0.5833333333333334,0.5660377358490566,0.6972477064220184,0.7647058823529411,0.7572815533980582,0.4523809523809524,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Ours,1001,0.6792766141645225,0.6792766141645225,0.6766666666666666,0.6766666666666667,0.6683215515857955,0.9170933333333333,124.06230592727661,1.085308313369751,2106.892578125,6.898318,0.5555555555555556,0.5660377358490566,0.7311827956989247,0.8571428571428571,0.7407407407407407,0.625,smp1k_mem2,
SMP2020,1000,LoRA-Vanilla,1001,0.5684268016124794,0.5684268016124793,0.6066666666666667,0.6066666666666666,0.5109677072067844,0.90192,128.24916291236877,0.6489999294281006,2012.61767578125,0.88935,0.594059405940594,0.5176470588235295,0.672,0.7096774193548387,0.7102803738317757,0.20689655172413793,smp1000_smoothing_sweep,0.1
SMP2020,1000,DoRA-Balanced,2024,0.7078999733642806,0.7078999733642806,0.7066666666666667,0.7066666666666667,0.7009054109452358,0.9077466666666667,161.5367558002472,0.9568264484405518,2484.47265625,0.916998,0.631578947368421,0.6194690265486725,0.7407407407407407,0.8210526315789474,0.8041237113402062,0.6304347826086957,smp1000_smoothing_sweep,0.1
SMP2020,1000,Full-FineTuning,2024,0.679186545701265,0.679186545701265,0.68,0.68,0.6719989649674654,0.8943733333333334,100.28850746154785,0.4489169120788574,3499.05224609375,102.272262,0.62,0.54,0.7647058823529411,0.8,0.7524752475247525,0.5979381443298969,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Ablation-NoHSP,2024,0.7018499335063013,0.7018499335063013,0.7033333333333334,0.7033333333333333,0.6907348736536224,0.9213999999999999,131.45048809051514,1.091792345046997,2024.59375,1.578374,0.5227272727272727,0.6226415094339622,0.7572815533980582,0.8387096774193549,0.8155339805825242,0.6542056074766355,nohsp_check,
SMP2020,1000,LoRA-Ablation-NoMem,2024,0.7016637431073658,0.7016637431073657,0.7,0.6999999999999998,0.6934347992243403,0.8978533333333333,123.3878960609436,0.7028379440307617,2097.544921875,6.209294,0.5742574257425742,0.6095238095238096,0.7547169811320755,0.8478260869565217,0.7920792079207921,0.631578947368421,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Balanced,2024,0.7075943555964567,0.7075943555964567,0.7066666666666667,0.7066666666666667,0.7009054109452358,0.9080933333333334,125.46394181251526,0.6502878665924072,2012.6181640625,0.88935,0.6382978723404256,0.6194690265486725,0.7407407407407407,0.8125,0.8041237113402062,0.6304347826086957,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Focal,2024,0.7016689636945616,0.7016689636945614,0.7033333333333334,0.7033333333333333,0.6944485199665512,0.9219733333333333,74.88022327423096,0.6395483016967773,2012.61865234375,0.88935,0.6274509803921569,0.6041666666666666,0.6915887850467289,0.8421052631578947,0.8073394495412844,0.6373626373626373,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-LDAM,2024,0.5920027666882991,0.5920027666882992,0.62,0.62,0.5475745286162105,0.8914933333333334,89.08210015296936,0.8842465877532959,2012.61865234375,0.88935,0.5742574257425742,0.5294117647058824,0.7256637168141593,0.7387387387387387,0.7339449541284404,0.25,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-LogitAdj,2024,0.6659063410816674,0.6659063410816675,0.67,0.6699999999999999,0.6594012398989609,0.9009599999999999,125.43372845649719,0.7999668121337891,2012.61865234375,0.88935,0.6041666666666666,0.5957446808510638,0.7289719626168224,0.7572815533980582,0.7619047619047619,0.5473684210526316,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Ours,2024,0.7100217321505357,0.7100217321505358,0.71,0.71,0.697588984018505,0.9077866666666666,164.84554767608643,1.1056151390075684,2106.892578125,6.898318,0.5411764705882353,0.6545454545454545,0.7339449541284404,0.8666666666666667,0.8282828282828283,0.6355140186915887,smp1k_mem2,
SMP2020,1000,LoRA-Vanilla,2024,0.575324505562759,0.575324505562759,0.6066666666666667,0.6066666666666667,0.5256556821504953,0.8947866666666666,129.57239937782288,0.7680110931396484,2012.61767578125,0.88935,0.5869565217391305,0.5591397849462365,0.7017543859649122,0.6417910447761194,0.7289719626168224,0.23333333333333334,smp1000_smoothing_sweep,0.1
SMP2020,2000,DoRA-Balanced,45,0.6980359945730518,0.6980359945730518,0.6966666666666667,0.6966666666666667,0.6917528123369525,0.9144800000000001,143.28984832763672,0.983656644821167,2480.9111328125,0.916998,0.6407766990291263,0.6122448979591837,0.7321428571428571,0.8409090909090909,0.7169811320754716,0.6451612903225806,smp2000_sharedcheck,
SMP2020,2000,Full-FineTuning,45,0.674256515143793,0.674256515143793,0.6766666666666666,0.6766666666666667,0.6656639182274185,0.9139466666666668,96.3376259803772,0.42223072052001953,3078.3310546875,102.272262,0.6593406593406593,0.5360824742268041,0.7307692307692307,0.7959183673469388,0.6942148760330579,0.6292134831460674,smp2000_sharedcheck,
SMP2020,2000,LoRA-Ablation-NoHSP,45,0.6688525893787881,0.668852589378788,0.67,0.67,0.6643969427653432,0.9113066666666668,146.32062196731567,0.7865056991577148,2017.75927734375,1.578374,0.651685393258427,0.56,0.7326732673267327,0.7222222222222222,0.7326732673267327,0.6138613861386139,s2k_ablation,
SMP2020,2000,LoRA-Ablation-NoMem,45,0.6964914401693924,0.6964914401693924,0.6966666666666667,0.6966666666666667,0.6856088278080233,0.9279333333333333,107.30082726478577,0.6644177436828613,2070.4091796875,6.209294,0.5974025974025974,0.6126126126126126,0.7254901960784313,0.8089887640449438,0.7735849056603774,0.6608695652173913,s2k_ablation,
SMP2020,2000,LoRA-Balanced,45,0.6881046131489024,0.6881046131489024,0.6866666666666666,0.6866666666666666,0.6811705610473383,0.91436,110.03173089027405,0.8002519607543945,2009.162109375,0.88935,0.6285714285714286,0.5979381443298969,0.7272727272727273,0.8409090909090909,0.7102803738317757,0.6236559139784946,smp2000_sharedcheck,
