Dataset,Model,Method,Macro-F1,Accuracy,Inference_Time_ms,Peak_Memory_MB,Params_M,Protocol
SST-5,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Zero-Shot CoT,0.5016702173778674,0.51,2306.0063445568085,5601.5322265625,4540.60032,balanced-held-out-test
SST-5,Qwen2.5-7B-Instruct,Balanced 1-Shot CoT,0.4782111328491963,0.505,1489.6889650821686,5490.59716796875,4352.972288,balanced-held-out-test
TweetEval,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Zero-Shot (No CoT),0.4267053521631589,0.46,83.43499819437662,5592.00146484375,4540.60032,balanced-held-out-test
TweetEval,Qwen2.5-7B-Instruct,Balanced 1-Shot (No CoT),0.7201565201565202,0.7266666666666667,73.51933320363364,5476.57080078125,4352.972288,balanced-held-out-test
TweetEval,Qwen2.5-7B-Instruct,Balanced 1-Shot CoT,0.7161285720109248,0.7266666666666667,1286.1491457621255,5478.6103515625,4352.972288,balanced-held-out-test
SMP2020,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 3-Shot CoT,0.4877597887537006,0.49,3235.2044955889382,5822.0595703125,4540.60032,balanced-held-out-test
TweetEval,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Zero-Shot CoT,0.6945950554134698,0.7066666666666667,2315.3156042099,5595.259765625,4540.60032,balanced-held-out-test
SMP2020,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 1-Shot (No CoT),0.5636979117974799,0.58,111.0165818532308,5665.27099609375,4540.60032,balanced-held-out-test
TweetEval,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 3-Shot CoT,0.6784430753433449,0.68,2763.946146965027,5670.97216796875,4540.60032,balanced-held-out-test
SST-5,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 1-Shot CoT,0.527417433986782,0.5375,2256.9486743211746,5637.69482421875,4540.60032,balanced-held-out-test
TweetEval,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 1-Shot (No CoT),0.5199800580024375,0.5866666666666667,71.33448282877603,5617.4638671875,4540.60032,balanced-held-out-test
TweetEval,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 5-Shot CoT,0.6522281639928699,0.6533333333333333,2894.8969666163125,5718.0234375,4540.60032,balanced-held-out-test
TweetEval,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 1-Shot CoT,0.7023037546109435,0.7,2505.229757626852,5620.72216796875,4540.60032,balanced-held-out-test
SMP2020,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 1-Shot CoT,0.5385357852988399,0.5433333333333333,2890.6029955546064,5672.1328125,4540.60032,balanced-held-out-test
SST-5,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 3-Shot CoT,0.5253066096909652,0.5325,2317.386552095413,5704.23193359375,4540.60032,balanced-held-out-test
SST-5,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 5-Shot CoT,0.5266272429882074,0.5325,2364.179552793503,5760.6611328125,4540.60032,balanced-held-out-test
SMP2020,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 5-Shot CoT,0.5275311620619019,0.5433333333333333,2339.3528294563293,5931.263671875,4540.60032,balanced-held-out-test
