Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5
SMP2020,1000,AHSP-Full,123,0.6983854854590077,0.6983854854590078,0.7033333333333334,0.7033333333333335,0.6877811060276394,0.9233733333333335,150.3785684108734,1.5824103355407715,2059.6142578125,6.898318,0.6000000000000001,0.5979381443298969,0.7321428571428572,0.8510638297872342,0.8070175438596492,0.6021505376344087
SMP2020,1000,AHSP-Full,789,0.7344363115069196,0.7344363115069196,0.7366666666666667,0.7366666666666667,0.7283364109911686,0.9196533333333332,179.33986639976501,1.5522677898406982,2061.61328125,6.898318,0.7,0.6862745098039216,0.7962962962962963,0.8510638297872342,0.7522935779816514,0.6206896551724138
SMP2020,1000,AHSP-Full,2024,0.7027354781964151,0.7027354781964152,0.71,0.71,0.6913876029463438,0.9028133333333334,263.4353847503662,1.537132740020752,2062.6474609375,6.898318,0.6857142857142857,0.5617977528089888,0.7747747747747747,0.8399999999999999,0.736842105263158,0.6172839506172839
SMP2020,1000,AHSP-Full,1001,0.7104448409101883,0.7104448409101883,0.71,0.7100000000000001,0.6999218885276665,0.9190666666666667,163.88124060630798,1.5209565162658691,2064.64453125,6.898318,0.6262626262626263,0.52,0.8148148148148148,0.8602150537634408,0.7551020408163266,0.6862745098039216
SMP2020,1000,AHSP-Full,45,0.7205470693732824,0.7205470693732823,0.7233333333333334,0.7233333333333333,0.7156959816521206,0.9188933333333332,245.08790826797485,1.546205759048462,2064.0126953125,6.898318,0.6521739130434783,0.64,0.7766990291262137,0.8235294117647058,0.7850467289719626,0.6458333333333334
SMP2020,1000,AHSP-OnlyMax,123,0.7079075332155892,0.7079075332155892,0.71,0.71,0.6969162288786636,0.9216799999999999,209.64901447296143,1.5118088722229004,2020.62744140625,4.539022,0.6788990825688074,0.5714285714285713,0.7766990291262137,0.8421052631578948,0.8000000000000002,0.5783132530120482
SMP2020,1000,AHSP-OnlyMax,789,0.7176514455548951,0.7176514455548952,0.7166666666666667,0.7166666666666667,0.7104225933692326,0.92132,169.4395866394043,1.5182926654815674,2024.62255859375,4.539022,0.6666666666666666,0.6194690265486726,0.7777777777777777,0.8510638297872342,0.7450980392156863,0.6458333333333334
SMP2020,1000,AHSP-OnlyMax,2024,0.695597449557782,0.6955974495577821,0.6966666666666667,0.6966666666666667,0.6859217791112407,0.9210933333333333,145.27546048164368,1.5012359619140625,2023.62353515625,4.539022,0.7157894736842104,0.5393258426966293,0.7169811320754718,0.8510638297872342,0.7522935779816514,0.5981308411214953
SMP2020,1000,AHSP-OnlyMax,1001,0.7218483727034443,0.7218483727034444,0.7233333333333334,0.7233333333333333,0.712992645158266,0.9320666666666667,193.59353613853455,1.5047476291656494,2026.59130859375,4.539022,0.6304347826086957,0.5631067961165048,0.7927927927927928,0.8541666666666666,0.7884615384615384,0.702127659574468
SMP2020,1000,AHSP-OnlyMax,45,0.7222065353650512,0.7222065353650513,0.7266666666666667,0.7266666666666666,0.7106247124626914,0.9235066666666666,209.0461220741272,1.5096676349639893,2026.75048828125,4.539022,0.7008547008547008,0.6086956521739131,0.7964601769911505,0.8541666666666666,0.7916666666666667,0.5813953488372093
SMP2020,1000,AHSP-OnlyMean,123,0.6901224688046366,0.6901224688046367,0.6933333333333334,0.6933333333333334,0.6770818900153982,0.9172399999999999,137.53706574440002,1.524812936782837,2029.62548828125,4.539022,0.6548672566371682,0.5054945054945056,0.761904761904762,0.8478260869565217,0.7706422018348624,0.6000000000000001
SMP2020,1000,AHSP-OnlyMean,789,0.7287371888920422,0.7287371888920422,0.73,0.7300000000000001,0.7229457309868277,0.92084,201.7420518398285,1.5136144161224365,2028.62548828125,4.539022,0.702127659574468,0.6170212765957446,0.7964601769911505,0.8510638297872342,0.7326732673267328,0.673076923076923
SMP2020,1000,AHSP-OnlyMean,2024,0.6909758029074458,0.6909758029074458,0.6966666666666667,0.6966666666666667,0.6833454534027353,0.9060666666666667,234.63901710510254,1.5054683685302734,2031.54541015625,4.539022,0.6526315789473685,0.574468085106383,0.7652173913043478,0.792079207920792,0.7547169811320756,0.6067415730337079
SMP2020,1000,AHSP-OnlyMean,1001,0.7075288708395416,0.7075288708395415,0.7066666666666667,0.7066666666666667,0.6993153348186884,0.9184933333333335,161.49362087249756,1.5433132648468018,2032.60205078125,4.539022,0.6222222222222222,0.5660377358490566,0.8000000000000002,0.8333333333333333,0.7446808510638298,0.6788990825688074
SMP2020,1000,AHSP-OnlyMean,45,0.7165155065363583,0.7165155065363584,0.7166666666666667,0.7166666666666667,0.7097673013726292,0.91656,245.66357040405273,1.541330099105835,2033.62548828125,4.539022,0.6590909090909091,0.6226415094339622,0.7592592592592593,0.8349514563106797,0.7956989247311828,0.6274509803921569
SMP2020,1000,AHSP-OnlyAttn,123,0.6901224688046366,0.6901224688046367,0.6933333333333334,0.6933333333333334,0.6770818900153982,0.9173066666666666,140.4716672897339,1.5901267528533936,2042.64453125,4.539022,0.6548672566371682,0.5054945054945056,0.761904761904762,0.8478260869565217,0.7706422018348624,0.6000000000000001
SMP2020,1000,AHSP-OnlyAttn,789,0.7302160927438437,0.7302160927438437,0.73,0.73,0.7260343147646492,0.9138933333333333,265.1920757293701,1.5951244831085205,2042.64453125,4.539022,0.712871287128713,0.6336633663366336,0.7889908256880733,0.8421052631578948,0.717391304347826,0.6862745098039216
SMP2020,1000,AHSP-OnlyAttn,2024,0.6876286715203753,0.6876286715203754,0.6933333333333334,0.6933333333333334,0.6796211764795143,0.9062133333333332,241.05792117118835,1.5945260524749756,2042.642578125,4.539022,0.6382978723404256,0.5684210526315789,0.7586206896551725,0.792079207920792,0.7476635514018691,0.6206896551724138
SMP2020,1000,AHSP-OnlyAttn,1001,0.709662485776157,0.7096624857761571,0.7133333333333334,0.7133333333333333,0.7012595944259938,0.9157733333333334,207.76885604858398,1.6130421161651611,2040.7548828125,4.539022,0.6326530612244898,0.5376344086021505,0.7962962962962963,0.8282828282828283,0.7692307692307692,0.6938775510204083
SMP2020,1000,AHSP-OnlyAttn,45,0.7158736926016628,0.7158736926016628,0.7133333333333334,0.7133333333333334,0.7080771477915005,0.9192933333333335,223.9944612979889,1.6167335510253906,2040.76953125,4.539022,0.6739130434782609,0.6017699115044247,0.7850467289719626,0.836734693877551,0.7777777777777777,0.62
SMP2020,1000,AHSP-Max+Mean,123,0.7020900943807636,0.7020900943807636,0.71,0.71,0.685152772527927,0.9174800000000002,216.0774688720703,1.6060194969177246,2052.62841796875,5.71867,0.706896551724138,0.577319587628866,0.7766990291262137,0.8602150537634408,0.7719298245614036,0.5194805194805194
SMP2020,1000,AHSP-Max+Mean,789,0.7191603933768613,0.7191603933768614,0.72,0.7200000000000001,0.7114570396745575,0.9173600000000001,174.3804612159729,1.6065776348114014,2052.62841796875,5.71867,0.6666666666666666,0.6548672566371682,0.7719298245614036,0.8510638297872342,0.74,0.6304347826086957
SMP2020,1000,AHSP-Max+Mean,2024,0.7033797422518786,0.7033797422518786,0.71,0.71,0.6930304730615103,0.9051866666666667,266.32012152671814,1.6131958961486816,2052.62060546875,5.71867,0.6601941747572816,0.6021505376344087,0.7787610619469026,0.8484848484848485,0.7592592592592593,0.5714285714285713
